CH1;CH2;PPG
99.21576;61.273777;574.1105
99.20518;61.27099;574.1079
99.21414;61.292038;574.1047
99.24583;61.327374;574.1038
99.225174;61.336506;574.10364
99.20741;61.35088;574.1008
99.174034;61.336742;574.0974
99.16779;61.34995;574.0963
99.18861;61.392414;574.0933
99.192635;61.410748;574.0927
99.189255;61.421787;574.094
99.21138;61.474598;574.0916
99.2623;61.5383;574.08923
99.26896;61.56329;574.0865
99.27735;61.5981;574.0834
99.26981;61.62058;574.0813
99.28975;61.653816;574.07886
99.32212;61.698017;574.07916
99.31547;61.704838;574.0828
99.24993;61.666477;574.0808
99.205315;61.64213;574.0779
99.24745;61.69947;574.07806
99.26125;61.72036;574.08044
99.25355;61.7365;574.0836
99.26414;61.74482;574.0807
99.19755;61.68245;574.0808
99.14529;61.645683;574.0894
99.18751;61.696327;574.08545
99.19862;61.71461;574.0886
99.16345;61.692795;574.0899
99.16526;61.706886;574.0927
99.273575;61.80924;574.0954
99.325836;61.855873;574.0977
99.32766;61.85163;574.1046
99.285645;61.810696;574.10986
99.26903;61.79069;574.1162
99.26211;61.785637;574.12274
99.18524;61.69933;574.1311
99.16157;61.65055;574.1406
99.1696;61.630165;574.15063
99.16422;61.585464;574.1591
99.212265;61.595238;574.16815
99.2074;61.557972;574.17975
99.19762;61.508022;574.198
99.1892;61.458813;574.20807
99.172325;61.412132;574.2188
99.19676;61.405697;574.22406
99.183174;61.364162;574.23193
99.16777;61.31829;574.24207
99.17437;61.290062;574.2524
99.09737;61.18356;574.26105
99.08366;61.144314;574.271
99.09682;61.124313;574.28253
99.04503;61.048496;574.2917
99.04735;61.031208;574.30054
99.08439;61.04921;574.31067
99.12233;61.061462;574.3198
99.10485;61.03338;574.3298
99.114174;61.01774;574.3367
99.10504;60.991062;574.3452
99.10714;60.985554;574.35724
99.14295;61.015594;574.3673
99.1327;61.00272;574.37054
99.0914;60.953773;574.37695
99.07899;60.942688;574.384
99.07922;60.942566;574.3957
99.06222;60.91298;574.40656
99.06851;60.898792;574.40405
99.09224;60.921467;574.4051
99.08258;60.906277;574.4139
99.06954;60.8796;574.418
99.077194;60.89624;574.4214
99.074814;60.89517;574.4272
99.01461;60.83802;574.4256
99.00295;60.819206;574.4298
98.99232;60.802734;574.43445
99.000946;60.804974;574.4394
99.00698;60.80826;574.4458
99.004616;60.807907;574.4482
99.00236;60.815273;574.4409
98.98168;60.809174;574.4405
99.043465;60.86372;574.4418
99.07803;60.89274;574.4428
99.07376;60.889233;574.4437
99.095314;60.90597;574.445
99.08928;60.893116;574.44763
99.00615;60.822952;574.4474
98.99406;60.818684;574.4478
99.00874;60.83058;574.448
98.94883;60.783466;574.4473
98.92365;60.76401;574.4465
98.90494;60.733833;574.4428
98.94185;60.76544;574.44165
98.92606;60.751953;574.44006
98.95692;60.780777;574.44635
98.94866;60.77031;574.43646
98.97172;60.79737;574.4352
98.98202;60.805546;574.43274
98.97661;60.800846;574.42804
98.96375;60.78788;574.42633
98.949066;60.774124;574.4225
98.96014;60.78235;574.41675
98.95719;60.779797;574.41425
98.926704;60.759388;574.4121
98.90282;60.738552;574.41113
98.90568;60.739243;574.408
98.87797;60.723385;574.4013
98.90985;60.75529;574.3991
98.90203;60.732494;574.3982
98.88021;60.71006;574.39343
98.897804;60.738503;574.3899
98.96156;60.79487;574.3912
98.97826;60.813534;574.38617
98.96659;60.802567;574.38837
98.95563;60.793125;574.3834
98.93965;60.782825;574.37616
98.92594;60.766636;574.377
98.90954;60.74482;574.37134
98.89845;60.72391;574.3674
98.86884;60.693653;574.3684
98.89826;60.723938;574.3701
98.874565;60.71411;574.3614
98.839134;60.681137;574.35565
98.842354;60.681496;574.35236
98.84011;60.68133;574.34845
98.81739;60.651955;574.3461
98.79753;60.624134;574.3467
98.82795;60.648045;574.3467
98.85172;60.684475;574.3384
98.86662;60.69699;574.3352
98.8512;60.677517;574.3315
98.83918;60.661423;574.33105
98.8568;60.67177;574.3324
98.87151;60.680283;574.3298
98.86362;60.671055;574.33325
98.87013;60.677322;574.3321
98.9051;60.709846;574.32874
98.91104;60.717213;574.3433
98.91543;60.730614;574.3262
98.899284;60.726273;574.3036
98.89149;60.706867;574.30273
98.894844;60.70353;574.3019
98.91943;60.725437;574.3038
98.941696;60.740887;574.30206
